profit,state,country,property_valuation,gender,owns_car,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,tenure
3018.0899999999992,New South Wales,Australia,10.0,Female,Yes,93.0,Health,Mass Customer,11.0
2226.2599999999998,New South Wales,Australia,10.0,Male,Yes,81.0,Financial Services,Mass Customer,16.0
3362.8099999999986,QLD,Australia,9.0,Male,Yes,61.0,Property,Mass Customer,15.0
220.57000000000005,New South Wales,Australia,4.0,Male,No,33.0,IT,Mass Customer,7.0
2394.94,VIC,Australia,9.0,Female,Yes,56.0,,Affluent Customer,8.0
3946.55,New South Wales,Australia,9.0,Male,Yes,35.0,Retail,High Net Worth,13.0
220.11,New South Wales,Australia,4.0,Female,Yes,6.0,Financial Services,Affluent Customer,11.0
7066.939999999999,New South Wales,Australia,12.0,Male,No,31.0,,Mass Customer,7.0
2353.1100000000006,VIC,Australia,8.0,Female,Yes,97.0,Argiculture,Affluent Customer,8.0
5422.360000000001,QLD,Australia,4.0,Female,Yes,49.0,Financial Services,Mass Customer,20.0
3638.8400000000006,VIC,Australia,6.0,Male,No,99.0,Property,Mass Customer,9.0
3540.03,New South Wales,Australia,8.0,Male,No,58.0,Manufacturing,Mass Customer,8.0
4337.380000000001,New South Wales,Australia,9.0,Male,Yes,38.0,Financial Services,High Net Worth,8.0
2798.08,VIC,Australia,4.0,Female,No,85.0,Financial Services,Affluent Customer,6.0
1728.389999999999,VIC,Australia,9.0,Female,No,91.0,Manufacturing,Mass Customer,1.0
4521.84,New South Wales,Australia,12.0,Male,Yes,38.0,,Mass Customer,18.0
2015.6100000000006,New South Wales,Australia,9.0,Male,Yes,57.0,,Affluent Customer,15.0
3543.380000000001,New South Wales,Australia,8.0,Female,No,79.0,,Affluent Customer,11.0
2951.7900000000004,New South Wales,Australia,7.0,Female,No,76.0,Manufacturing,High Net Worth,1.0
3608.2800000000007,New South Wales,Australia,10.0,Male,No,72.0,Manufacturing,Mass Customer,11.0
4229.409999999999,QLD,Australia,3.0,Male,Yes,74.0,Manufacturing,Affluent Customer,16.0
4286.95,QLD,Australia,5.0,Female,No,79.0,IT,Mass Customer,11.0
6413.92,VIC,Australia,7.0,Male,Yes,43.0,,High Net Worth,1.0
4882.790000000001,QLD,Australia,4.0,Female,Yes,55.0,Argiculture,Mass Customer,15.0
5333.66,QLD,Australia,7.0,Male,Yes,72.0,Financial Services,Mass Customer,21.0
1965.5099999999998,New South Wales,Australia,11.0,Female,Yes,12.0,Financial Services,Mass Customer,16.0
3274.25,New South Wales,Australia,12.0,Male,Yes,37.0,Health,Mass Customer,12.0
3366.560000000001,New South Wales,Australia,9.0,Male,Yes,5.0,Health,Affluent Customer,21.0
6175.299999999999,New South Wales,Australia,9.0,Female,No,62.0,Manufacturing,Mass Customer,19.0
2633.9499999999994,QLD,Australia,8.0,Male,Yes,18.0,IT,Affluent Customer,6.0
426.1099999999997,QLD,Australia,6.0,Female,Yes,3.0,Telecommunications,High Net Worth,14.0
2823.120000000001,New South Wales,Australia,8.0,Female,No,17.0,Manufacturing,Affluent Customer,4.0
5150.449999999999,QLD,Australia,1.0,Male,Yes,44.0,,Affluent Customer,11.0
5859.76,QLD,Australia,4.0,Female,No,59.0,IT,Affluent Customer,20.0
3706.5099999999998,New South Wales,Australia,10.0,Female,Yes,40.0,Health,High Net Worth,16.0
204.3599999999999,New South Wales,Australia,8.0,Female,No,33.0,,Affluent Customer,22.0
6338.489999999998,VIC,Australia,9.0,Female,No,46.0,Health,High Net Worth,16.0
2025.3400000000001,VIC,Australia,10.0,Female,No,37.0,Financial Services,Affluent Customer,20.0
6085.169999999999,QLD,Australia,8.0,Male,No,5.0,Entertainment,Mass Customer,22.0
4552.1,QLD,Australia,2.0,Female,No,91.0,Manufacturing,Affluent Customer,14.0
4531.680000000002,New South Wales,Australia,3.0,Male,No,64.0,Health,Mass Customer,16.0
427.03999999999996,VIC,Australia,6.0,Female,No,24.0,Manufacturing,Mass Customer,18.0
3619.95,New South Wales,Australia,4.0,Female,No,38.0,Retail,Mass Customer,5.0
4768.279999999999,VIC,Australia,9.0,Male,Yes,63.0,Entertainment,Affluent Customer,17.0
1048.15,New South Wales,Australia,9.0,Male,No,64.0,Financial Services,Mass Customer,8.0
1623.6300000000006,New South Wales,Australia,10.0,Female,Yes,98.0,,Affluent Customer,15.0
4332.1900000000005,QLD,Australia,5.0,Male,No,51.0,Health,Affluent Customer,2.0
5561.079999999998,New South Wales,Australia,8.0,Female,Yes,46.0,,Mass Customer,8.0
4248.680000000001,QLD,Australia,3.0,Male,No,63.0,,Affluent Customer,1.0
5783.66,New South Wales,Australia,8.0,Male,Yes,38.0,Manufacturing,Mass Customer,16.0
4855.400000000003,New South Wales,Australia,10.0,Male,No,68.0,Retail,Mass Customer,18.0
5744.69,New South Wales,Australia,10.0,Male,Yes,57.0,Financial Services,Mass Customer,13.0
2950.0699999999997,QLD,Australia,6.0,Female,No,22.0,Financial Services,Mass Customer,16.0
4098.209999999999,New South Wales,Australia,9.0,Female,Yes,2.0,Property,Mass Customer,18.0
3220.8599999999988,New South Wales,Australia,9.0,Male,Yes,48.0,Financial Services,Affluent Customer,7.0
1275.2399999999993,New South Wales,Australia,10.0,Male,Yes,44.0,Property,Mass Customer,4.0
5117.96,New South Wales,Australia,7.0,Male,Yes,87.0,,Mass Customer,13.0
3501.37,New South Wales,Australia,8.0,Female,Yes,26.0,Financial Services,Affluent Customer,17.0
2628.37,New South Wales,Australia,9.0,Male,No,60.0,,High Net Worth,3.0
647.22,VIC,Australia,8.0,Female,No,18.0,Manufacturing,Mass Customer,10.0
5122.160000000001,New South Wales,Australia,10.0,Female,No,47.0,Property,High Net Worth,13.0
4920.88,New South Wales,Australia,10.0,Female,Yes,38.0,IT,Mass Customer,22.0
2190.05,New South Wales,Australia,10.0,Female,Yes,58.0,Retail,Mass Customer,16.0
546.6799999999998,VIC,Australia,7.0,Male,No,73.0,IT,High Net Worth,4.0
4441.610000000001,VIC,Australia,7.0,Male,Yes,21.0,Financial Services,Affluent Customer,15.0
3333.8599999999997,New South Wales,Australia,12.0,Male,No,46.0,Argiculture,High Net Worth,1.0
1203.289999999999,New South Wales,Australia,10.0,Male,No,67.0,Retail,Mass Customer,18.0
3842.5599999999995,QLD,Australia,6.0,Female,No,37.0,,Affluent Customer,9.0
5294.75,New South Wales,Australia,8.0,Female,No,16.0,,Mass Customer,6.0
2736.8999999999996,QLD,Australia,8.0,Male,No,78.0,Financial Services,Affluent Customer,8.0
155.6500000000001,New South Wales,Australia,8.0,Male,Yes,30.0,Argiculture,Affluent Customer,12.0
2871.3500000000004,QLD,Australia,9.0,Male,Yes,93.0,Manufacturing,Affluent Customer,16.0
2316.51,QLD,Australia,5.0,Female,Yes,16.0,,Affluent Customer,5.0
